Number Passengers,airport_1,airport_2,start_lat,start_lon,end_lat,end_lon,Year
37330,AC,AM,-8.77,-70.55,-3.07,-61.66,2001
50722,AC,DF,-8.77,-70.55,-15.83,-47.86,2001
633,AC,GO,-8.77,-70.55,-16.64,-49.31,2001
188,AC,MG,-8.77,-70.55,-18.1,-44.38,2001
9,AC,MT,-8.77,-70.55,-12.64,-55.42,2001
18595,AC,RO,-8.77,-70.55,-11.22,-62.8,2001
16,AC,SC,-8.77,-70.55,-27.33,-49.44,2001
15183,AC,SP,-8.77,-70.55,-23.55,-46.64,2001
132571,AL,BA,-9.71,-35.73,-12.96,-38.51,2001
1470,AL,CE,-9.71,-35.73,-3.71,-38.54,2001
53037,AL,DF,-9.71,-35.73,-15.83,-47.86,2001
1744,AL,ES,-9.71,-35.73,-19.19,-40.34,2001
1766,AL,GO,-9.71,-35.73,-16.64,-49.31,2001
11775,AL,MG,-9.71,-35.73,-18.1,-44.38,2001
985,AL,PB,-9.71,-35.73,-7.06,-35.55,2001
101511,AL,PE,-9.71,-35.73,-8.28,-35.07,2001
2417,AL,PR,-9.71,-35.73,-24.89,-51.55,2001
32221,AL,RJ,-9.71,-35.73,-22.84,-43.15,2001
25482,AL,RN,-9.71,-35.73,-5.22,-36.52,2001
7647,AL,RS,-9.71,-35.73,-30.01,-51.22,2001
510,AL,SC,-9.71,-35.73,-27.33,-49.44,2001
14898,AL,SE,-9.71,-35.73,-10.9,-37.07,2001
151741,AL,SP,-9.71,-35.73,-23.55,-46.64,2001
962,AM,AP,-3.07,-61.66,1.41,-51.77,2001
3210,AM,BA,-3.07,-61.66,-12.96,-38.51,2001
73675,AM,CE,-3.07,-61.66,-3.71,-38.54,2001
187386,AM,DF,-3.07,-61.66,-15.83,-47.86,2001
219,AM,GO,-3.07,-61.66,-16.64,-49.31,2001
16083,AM,MA,-3.07,-61.66,-2.55,-44.3,2001
86,AM,MG,-3.07,-61.66,-18.1,-44.38,2001
164579,AM,PA,-3.07,-61.66,-5.53,-52.29,2001
102,AM,PB,-3.07,-61.66,-7.06,-35.55,2001
20256,AM,PE,-3.07,-61.66,-8.28,-35.07,2001
3264,AM,PI,-3.07,-61.66,-8.28,-43.68,2001
574,AM,PR,-3.07,-61.66,-24.89,-51.55,2001
78282,AM,RJ,-3.07,-61.66,-22.84,-43.15,2001
147,AM,RN,-3.07,-61.66,-5.22,-36.52,2001
65923,AM,RO,-3.07,-61.66,-11.22,-62.8,2001
62090,AM,RR,-3.07,-61.66,1.89,-61.22,2001
2142,AM,RS,-3.07,-61.66,-30.01,-51.22,2001
308,AM,SC,-3.07,-61.66,-27.33,-49.44,2001
249977,AM,SP,-3.07,-61.66,-23.55,-46.64,2001
20857,AP,DF,1.41,-51.77,-15.83,-47.86,2001
10,AP,GO,1.41,-51.77,-16.64,-49.31,2001
1,AP,MA,1.41,-51.77,-2.55,-44.3,2001
672,AP,MG,1.41,-51.77,-18.1,-44.38,2001
174888,AP,PA,1.41,-51.77,-5.53,-52.29,2001
99,AP,PR,1.41,-51.77,-24.89,-51.55,2001
5386,AP,RJ,1.41,-51.77,-22.84,-43.15,2001
85,AP,RR,1.41,-51.77,1.89,-61.22,2001
11593,AP,SP,1.41,-51.77,-23.55,-46.64,2001
12,AP,TO,1.41,-51.77,-10.25,-48.25,2001
82747,BA,CE,-12.96,-38.51,-3.71,-38.54,2001
289141,BA,DF,-12.96,-38.51,-15.83,-47.86,2001
36458,BA,ES,-12.96,-38.51,-19.19,-40.34,2001
18102,BA,GO,-12.96,-38.51,-16.64,-49.31,2001
2433,BA,MA,-12.96,-38.51,-2.55,-44.3,2001
224784,BA,MG,-12.96,-38.51,-18.1,-44.38,2001
2442,BA,MT,-12.96,-38.51,-12.64,-55.42,2001
3410,BA,PA,-12.96,-38.51,-5.53,-52.29,2001
31636,BA,PB,-12.96,-38.51,-7.06,-35.55,2001
306854,BA,PE,-12.96,-38.51,-8.28,-35.07,2001
2161,BA,PI,-12.96,-38.51,-8.28,-43.68,2001
20529,BA,PR,-12.96,-38.51,-24.89,-51.55,2001
527709,BA,RJ,-12.96,-38.51,-22.84,-43.15,2001
79238,BA,RN,-12.96,-38.51,-5.22,-36.52,2001
63249,BA,RS,-12.96,-38.51,-30.01,-51.22,2001
6325,BA,SC,-12.96,-38.51,-27.33,-49.44,2001
128033,BA,SE,-12.96,-38.51,-10.9,-37.07,2001
1510158,BA,SP,-12.96,-38.51,-23.55,-46.64,2001
460,BA,TO,-12.96,-38.51,-10.25,-48.25,2001
231623,CE,DF,-3.71,-38.54,-15.83,-47.86,2001
264,CE,ES,-3.71,-38.54,-19.19,-40.34,2001
7201,CE,GO,-3.71,-38.54,-16.64,-49.31,2001
67234,CE,MA,-3.71,-38.54,-2.55,-44.3,2001
21312,CE,MG,-3.71,-38.54,-18.1,-44.38,2001
1816,CE,MT,-3.71,-38.54,-12.64,-55.42,2001
72799,CE,PA,-3.71,-38.54,-5.53,-52.29,2001
249,CE,PB,-3.71,-38.54,-7.06,-35.55,2001
243136,CE,PE,-3.71,-38.54,-8.28,-35.07,2001
64287,CE,PI,-3.71,-38.54,-8.28,-43.68,2001
13313,CE,PR,-3.71,-38.54,-24.89,-51.55,2001
134135,CE,RJ,-3.71,-38.54,-22.84,-43.15,2001
151514,CE,RN,-3.71,-38.54,-5.22,-36.52,2001
1733,CE,RO,-3.71,-38.54,-11.22,-62.8,2001
24138,CE,RS,-3.71,-38.54,-30.01,-51.22,2001
3115,CE,SC,-3.71,-38.54,-27.33,-49.44,2001
513256,CE,SP,-3.71,-38.54,-23.55,-46.64,2001
33299,DF,ES,-15.83,-47.86,-19.19,-40.34,2001
264970,DF,GO,-15.83,-47.86,-16.64,-49.31,2001
156497,DF,MA,-15.83,-47.86,-2.55,-44.3,2001
384802,DF,MG,-15.83,-47.86,-18.1,-44.38,2001
48405,DF,MS,-15.83,-47.86,-20.51,-54.54,2001
133727,DF,MT,-15.83,-47.86,-12.64,-55.42,2001
248258,DF,PA,-15.83,-47.86,-5.53,-52.29,2001
38004,DF,PB,-15.83,-47.86,-7.06,-35.55,2001
187388,DF,PE,-15.83,-47.86,-8.28,-35.07,2001
109625,DF,PI,-15.83,-47.86,-8.28,-43.68,2001
98546,DF,PR,-15.83,-47.86,-24.89,-51.55,2001
868195,DF,RJ,-15.83,-47.86,-22.84,-43.15,2001
70873,DF,RN,-15.83,-47.86,-5.22,-36.52,2001
80818,DF,RO,-15.83,-47.86,-11.22,-62.8,2001
22664,DF,RR,-15.83,-47.86,1.89,-61.22,2001
112387,DF,RS,-15.83,-47.86,-30.01,-51.22,2001
38791,DF,SC,-15.83,-47.86,-27.33,-49.44,2001
29440,DF,SE,-15.83,-47.86,-10.9,-37.07,2001
1481505,DF,SP,-15.83,-47.86,-23.55,-46.64,2001
107864,DF,TO,-15.83,-47.86,-10.25,-48.25,2001
8,ES,GO,-19.19,-40.34,-16.64,-49.31,2001
107,ES,MA,-19.19,-40.34,-2.55,-44.3,2001
180058,ES,MG,-19.19,-40.34,-18.1,-44.38,2001
415,ES,MS,-19.19,-40.34,-20.51,-54.54,2001
562,ES,MT,-19.19,-40.34,-12.64,-55.42,2001
896,ES,PB,-19.19,-40.34,-7.06,-35.55,2001
301,ES,PE,-19.19,-40.34,-8.28,-35.07,2001
104,ES,PR,-19.19,-40.34,-24.89,-51.55,2001
306909,ES,RJ,-19.19,-40.34,-22.84,-43.15,2001
2111,ES,RN,-19.19,-40.34,-5.22,-36.52,2001
1017,ES,RS,-19.19,-40.34,-30.01,-51.22,2001
538,ES,SC,-19.19,-40.34,-27.33,-49.44,2001
762,ES,SE,-19.19,-40.34,-10.9,-37.07,2001
355732,ES,SP,-19.19,-40.34,-23.55,-46.64,2001
5292,GO,MA,-16.64,-49.31,-2.55,-44.3,2001
34198,GO,MG,-16.64,-49.31,-18.1,-44.38,2001
14116,GO,MS,-16.64,-49.31,-20.51,-54.54,2001
18818,GO,MT,-16.64,-49.31,-12.64,-55.42,2001
