Indicator,Color code
1.1.1,The lower the better
1.2.1,The lower the better
1.2.2,The lower the better
1.3.1,The higher the better
1.4.1,The higher the better
1.4.2,The higher the better
1.5.1,The lower the better
1.5.2,The lower the better
1.5.3,The higher the better
1.5.4,The higher the better
1.a.1,The higher the better
1.a.2,The higher the better
1.b.1,The higher the better
2.1.1,The lower the better
2.1.2,The lower the better
2.2.1,The lower the better
2.2.2,The lower the better
2.2.3,The lower the better
2.3.1,The higher the better
2.3.2,The higher the better
2.4.1,The higher the better
2.5.1,The higher the better
2.5.2,The lower the better
2.a.1,The higher the better
2.a.2,The higher the better
2.b.1,The lower the better
2.c.1,The lower the better
3.1.1,The lower the better
3.1.2,The higher the better
3.2.1,The lower the better
3.2.2,The lower the better
3.3.1,The lower the better
3.3.2,The lower the better
3.3.3,The lower the better
3.3.4,The lower the better
3.3.5,The lower the better
3.4.1,The lower the better
3.4.2,The lower the better
3.5.1,The higher the better
3.5.2,The lower the better
3.6.1,The lower the better
3.7.1,The higher the better
3.7.2,The lower the better
3.8.1,The higher the better
3.8.2,The lower the better
3.9.1,The lower the better
3.9.2,The lower the better
3.9.3,The lower the better
3.a.1,The lower the better
3.b.1,The higher the better
3.b.2,The higher the better
3.b.3,The higher the better
3.c.1,The higher the better
3.d.1,The higher the better
3.d.2,The lower the better
4.1.1,The higher the better
4.1.2,The higher the better
4.2.1,The higher the better
4.2.2,The higher the better
4.3.1,The higher the better
4.4.1,The higher the better
4.5.1,The higher the better
4.6.1,The higher the better
4.7.1,The higher the better
4.a.1,The higher the better
4.b.1,The higher the better
4.c.1,The higher the better
5.1.1,The higher the better
5.2.1,The lower the better
5.2.2,The lower the better
5.3.1,The lower the better
5.3.2,The lower the better
5.4.1,The lower the better
5.5.1,The higher the better
5.5.2,The higher the better
5.6.1,The higher the better
5.6.2,The higher the better
5.a.1,The higher the better
5.a.2,The higher the better
5.b.1,The higher the better
5.c.1,The higher the better
6.1.1,The higher the better
6.2.1,The higher the better
6.3.1,The higher the better
6.3.2,The higher the better
6.4.1,The higher the better
6.4.2,The lower the better
6.5.1,The higher the better
6.5.2,The higher the better
6.6.1,The lower the better
6.a.1,The higher the better
6.b.1,The higher the better
7.1.1,The higher the better
7.1.2,The higher the better
7.2.1,The higher the better
7.3.1,The higher the better
7.a.1,The higher the better
7.b.1,The higher the better
8.1.1,The higher the better
8.2.1,The higher the better
8.3.1,The lower the better
8.4.1,The lower the better
8.4.2,The lower the better
8.5.1,The higher the better
8.5.2,The lower the better
8.6.1,The lower the better
8.7.1,The lower the better
8.8.1,The lower the better
8.8.2,The higher the better
8.9.1,The higher the better
8.10.1,The higher the better
8.10.2,The higher the better
8.a.1,The higher the better
8.b.1,The higher the better
9.1.1,The higher the better
9.1.2,The higher the better
9.2.1,The higher the better
9.2.2,The higher the better
9.3.1,The higher the better
9.3.2,The higher the better
9.4.1,The lower the better
9.5.1,The higher the better
9.5.2,The higher the better
9.a.1,The higher the better
9.b.1,The higher the better
9.c.1,The higher the better
10.1.1,The higher the better
10.2.1,The lower the better
10.3.1,The lower the better
10.4.1,The higher the better
10.4.2,The higher the better
10.5.1,The higher the better
10.6.1,The higher the better
10.7.1,The lower the better
10.7.2,The higher the better
10.7.3,The lower the better
