Player,Crossing,Finishing,Heading Accuracy,Short Passing,Volleys,Dribbling,Curve,FK Accuracy,Long Passing,Ball Control,Acceleration,Sprint Speed,Agility,Reactions,Balance,Shot Power,Jumping,Stamina,Strength,Long Shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Defensive Awareness,Standing Tackle,Sliding Tackle,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,Position
kylian-mbappe,78,93,72,85,83,93,80,69,71,91,97,97,93,93,81,88,77,87,76.0,82,64,38,92,83,80,88,26,34,32,13,5,7,11,6,Forward
kevin-de-bruyne,94,85,55,93,83,88,89,83,93,90,76,73,76,91,78,92,63,89,74.0,91,75,64,88,94,83,89,65,65,53,15,13,5,10,13,Midfielder/Defender
robert-lewandowski,71,94,91,84,89,85,79,85,70,89,76,75,77,93,82,91,85,76,87.0,84,81,49,94,81,90,88,35,42,19,15,6,12,8,10,Forward
karim-benzema,75,92,90,89,88,87,82,73,76,91,79,80,78,92,72,87,79,82,82.0,80,63,39,92,89,84,90,43,24,18,13,11,5,5,7,Forward
lionel-messi,84,90,70,91,88,95,93,93,90,93,87,76,91,92,95,86,68,70,68.0,91,44,40,93,94,75,96,20,35,24,6,11,15,14,8,Forward
mohamed-salah,80,93,59,84,84,90,84,69,77,88,89,91,90,93,91,83,69,87,75.0,85,63,55,92,85,86,92,38,43,41,14,14,9,11,14,Forward
thibaut-courtois,14,14,13,33,12,13,19,20,35,23,42,52,63,84,45,56,68,38,70.0,17,23,15,13,44,27,66,20,18,16,84,89,75,89,90,Goal Keeper
manuel-neuer,15,13,25,60,11,30,14,11,68,46,54,60,51,87,35,68,77,43,80.0,16,29,30,12,70,47,70,17,10,11,87,88,91,90,88,Goal Keeper
c-ronaldo-dos-santos-aveiro,78,92,90,80,85,84,81,79,75,88,79,82,77,93,67,93,95,74,75.0,90,63,29,94,76,90,95,24,32,24,7,11,15,14,11,Forward
alisson-ramses-becker,17,13,29,60,20,27,19,18,58,40,58,49,40,87,37,64,52,32,78.0,14,27,11,13,66,23,68,15,19,16,86,85,85,90,89,Goal Keeper
joshua-kimmich,91,68,72,87,69,82,85,69,90,85,77,60,84,88,84,78,79,94,68.0,83,89,84,80,85,44,85,85,85,78,8,15,7,15,15,Midfielder/Defender
ederson-santana-de-moraes,20,14,14,61,18,23,15,20,66,40,64,63,60,88,48,70,66,41,78.0,18,38,27,20,70,51,70,29,15,8,87,82,93,88,87,Goal Keeper
sadio-mane,78,85,84,84,75,88,77,64,71,86,91,90,93,91,88,83,87,85,72.0,78,75,35,90,84,75,84,42,42,38,10,10,15,7,14,Forward
harry-kane,80,93,85,84,87,83,82,65,86,84,67,70,68,92,73,92,79,83,83.0,86,80,44,94,87,92,92,50,36,38,8,10,11,14,11,Forward
jan-oblak,13,11,15,43,13,12,13,14,40,30,43,54,65,86,49,59,77,41,78.0,12,36,23,11,66,11,68,27,14,18,86,90,79,87,89,Goal Keeper
heung-min-son,83,91,68,83,79,86,85,74,74,84,85,90,85,91,76,88,60,88,64.0,89,62,39,91,82,73,89,47,34,33,11,13,13,6,10,Forward
neymar-da-silva-santos-jr,83,83,63,85,86,95,88,87,81,94,88,86,93,88,82,79,62,79,52.0,81,63,37,86,90,91,93,35,32,29,9,9,15,15,11,Forward
ruben-santos-gato-alves-dias,54,29,87,82,32,64,46,48,76,74,57,67,60,89,56,74,78,83,89.0,26,92,85,39,51,45,81,90,89,85,7,8,13,7,12,Midfielder/Defender
gianluigi-donnarumma,12,12,12,36,8,28,12,14,34,30,50,55,64,85,38,59,72,34,72.0,18,30,26,14,60,24,65,20,14,16,90,83,79,85,89,Goal Keeper
bernardo-mota-carvalho-e-silva,85,79,51,89,78,92,85,67,77,91,84,65,94,87,92,79,51,93,54.0,78,77,65,83,85,68,90,66,73,58,9,10,14,12,9,Forward
ngolo-kante,68,65,54,81,56,78,49,49,76,81,77,68,78,91,92,71,75,93,72.0,65,92,89,72,77,54,84,90,92,85,15,12,10,7,10,Midfielder/Defender
joao-pedro-cavaco-cancelo,88,69,72,88,62,86,87,69,79,87,86,84,79,85,78,80,72,91,62.0,79,76,82,81,85,52,86,81,84,80,6,9,15,14,14,Midfielder/Defender
marcos-aoas-correa,68,59,88,84,35,69,58,32,85,79,77,81,68,88,66,65,92,82,78.0,45,81,89,70,76,52,86,90,89,89,6,6,12,10,13,Midfielder/Defender
keylor-navas,11,15,11,40,11,24,21,15,37,30,54,53,60,84,61,56,74,39,75.0,13,32,22,16,68,25,67,28,14,14,89,84,75,87,89,Goal Keeper
marc-andre-ter-stegen,18,14,11,61,14,21,18,12,63,30,45,50,39,85,43,65,79,35,78.0,10,43,22,11,70,25,70,25,13,10,86,85,87,85,90,Goal Keeper
toni-kroos,88,77,58,93,82,80,86,84,93,88,55,52,63,90,71,89,32,75,72.0,86,60,80,76,89,73,88,71,73,60,10,11,13,7,10,Midfielder/Defender
luka-modric,86,72,55,91,76,85,85,78,92,90,76,70,91,88,92,79,67,83,58.0,82,62,80,78,90,82,92,70,75,72,13,9,7,14,9,Midfielder/Defender
rodrigo-hernandez-cascante,63,64,80,86,59,78,65,61,83,85,54,62,65,82,65,89,72,88,84.0,82,82,83,75,83,46,85,84,86,78,10,10,7,14,8,Midfielder/Defender
frenkie-de-jong,78,72,72,91,70,87,84,64,89,89,80,83,87,88,79,68,76,89,74.0,66,74,82,77,88,53,90,76,76,77,7,13,10,10,9,Midfielder/Defender
