population,fertility,HIV,CO2,BMI_male,GDP,BMI_female,child_mortality,Poli.1,Poli.2,Poli.3,Poli.4,Poli.5,Poli.6,Poli.7,Poli.8,Poli.9,Poli.10,Poli.11,Poli.12,Poli.13,Poli.14,Poli.15,Poli.16,Poli.17,Poli.18,Poli.19,Poli.20,Poli.21,Poli.22,Poli.23,Poli.24,Poli.25,Poli.26,Poli.27,Poli.28,Poli.29,life
1.0,34811059.0,2.73,0.1,3.328944661018629,24.5962,12314.0,129.9049,29.5,95034191.07,3481105.9000000004,115884089.00245449,856219769.3758,428663380526.0,4522127138.2891,1026926240.5,0.273,9.088018924580858,67.147626,33617.22,354.640377,80.535,0.3328944661018629,2.45962,1231.4,12.990490000000001,2.95,81.8793886713464,40992.6245557834,432.4462232951589,98.20386750004955,302877.6068,3195.1669013799997,725.5879,1599648.9386,363263.0,3832.19455,75.3
1.0,19842251.0,6.43,2.0,1.4743533878509398,22.25083,7103.0,130.1247,192.0,127585673.92999999,39684502.0,29254489.9844387,441506553.81833,140939508853.0,2581966958.6997,3809712192.0,12.86,9.480092283881543,143.0728369,45672.29,836.7018209999999,1234.56,2.9487067757018797,44.50166,14206.0,260.2494,384.0,32.805586592995326,10472.332113905226,191.84979228808717,283.07585046738046,158047.64549,2895.382578501,4272.15936,924275.7440999999,1363776.0,24983.9424,58.3
1.0,40381860.0,2.24,0.5,4.78516998252535,27.5017,14646.0,118.8915,15.4,90455366.4,20190930.0,193234064.31054112,1110569799.162,591432721560.0,4801059908.19,621880644.0,1.12,10.718780760856784,61.60380800000001,32807.04,266.31696,34.496,2.392584991262675,13.75085,7323.0,59.44575,7.7,131.60030930841742,70083.59956406627,568.9160369774125,73.69161773089039,402789.8982,3269.71836555,423.52618,1741284.909,225548.4,1830.9290999999998,75.5
1.0,2975029.0,1.4,0.1,1.8041062172001,25.35542,7383.0,132.8108,20.0,4165040.5999999996,297502.9,5367268.315250596,75433109.80718,21964639107.0,395115981.5132,59500580.0,0.13999999999999999,2.5257487040801396,35.49758799999999,10336.199999999999,185.93511999999998,28.0,0.18041062172001,2.535542,738.3000000000001,13.281080000000001,2.0,45.743870861719756,13319.716201588337,239.60478999131902,36.082124344002,187199.06586,3367.473614536,507.10839999999996,980542.1364,147660.0,2656.216,72.5
1.0,21370348.0,1.96,0.1,18.0163132681972,27.56373,41312.0,117.3755,5.2,41885882.08,2137034.8000000003,385014884.21839154,589046502.27804,882851816576.0,2508355281.6740003,111125809.60000001,0.196,35.311974005666514,54.0249108,80971.52,230.05598,10.192,1.8016313268197202,2.756373,4131.2,11.73755,0.52,496.59679452000523,744289.9337357628,2114.673778011281,93.68482899462545,1138712.81376,3235.306590615,143.331396,4849016.656,214822.4,610.3526,81.5
1.0,8331465.0,1.41,0.3,8.18316001754696,26.46741,43952.0,124.1394,4.6,11747365.649999999,2499439.5,68177711.27559188,220512300.05565,366184549680.0,1034263066.221,38324739.0,0.423,11.538255624741213,37.319048099999996,61972.32,175.036554,6.485999999999999,2.454948005264088,7.940223,13185.6,37.24182,1.38,216.5870512800226,359666.249091224,1015.852574682269,37.64253608071601,1163295.6043200002,3285.648396954,121.750086,5456174.908799999,202179.19999999998,571.0412399999999,80.4
1.0,8868713.0,1.99,0.1,5.10953829181389,25.65117,14365.0,128.6024,43.3,17648738.87,886871.3,45315028.67260764,227492864.84421,127399062245.0,1140537776.7112,384015272.9,0.199,10.167981200709642,51.045828300000004,28586.35,255.91877599999998,86.16699999999999,0.510953829181389,2.5651170000000003,1436.5,12.86024,4.33,131.0656353448277,73398.51756190653,657.0988872191666,221.24300803554144,368479.05705,3298.8020248079997,1110.695661,1847373.4759999998,622004.5,5568.483919999999,70.6
1.0,348587.0,1.89,3.1,3.13192132134112,27.24594,24373.0,124.3862,14.5,658829.4299999999,1080619.7,1091747.057642337,9497580.48678,8496110951.0,43359412.2994,5054511.5,5.859,5.9193312973347165,51.494826599999996,46064.97,235.08991799999998,27.404999999999998,9.708956096157472,84.46241400000001,75556.3,385.59722,44.95,85.33214040598088,76334.31836504712,389.56779186060083,45.41285915944624,664065.29562,3389.0189420280003,395.06613,3031664.8526,353408.5,1803.5999,72.2
1.0,148252473.0,2.38,0.06,0.319161002018858,20.39742,2265.0,125.0307,55.9,352840885.74,8895148.379999999,47316407.83445369,3023967957.81966,335791851345.0,18536110475.9211,8287313240.7,0.14279999999999998,0.759603184804882,48.5458596,5390.7,297.573066,133.042,0.01914966012113148,1.2238452,135.9,7.501842,3.3539999999999996,6.5100610057994945,722.8996695727134,39.90492349511923,17.841100012854163,46200.1563,2550.303700794,1140.215778,283194.5355,126613.5,6989.21613,68.4
1.0,277315.0,1.83,1.3,6.00827883508462,26.384390000000003,16075.0,126.394,15.4,507486.45,360509.5,1666185.8451514915,7316787.112850001,4457838625.0,35050952.11,4270651.0,2.379,10.995150268204855,48.28343370000001,29417.25,231.30102000000002,28.182000000000002,7.810762485610006,34.299707000000005,20897.5,164.31220000000002,20.02,158.5247720136183,96583.08227398526,759.4103950816855,92.52749406030316,424129.06925000006,3334.8285896600005,406.3196060000001,2031783.55,247555.0,1946.4676000000002,75.3
