year,visitor_count,total_visitors
1944,1409,15431947
1945,3205,15431947
1946,10037,15431947
1947,28652,15431947
1948,45670,15431947
1949,62150,15431947
1950,70325,15431947
1951,84051,15431947
1952,94367,15431947
1953,86635,15431947
1954,67300,15431947
1955,81000,15431947
1956,89700,15431947
1957,75000,15431947
1958,72600,15431947
1959,70400,15431947
1960,75900,15431947
1961,90600,15431947
1962,91000,15431947
1963,114200,15431947
1964,119700,15431947
1965,174600,15431947
1966,163500,15431947
1967,173300,15431947
1968,191800,15431947
1969,199800,15431947
1970,172600,15431947
1971,205000,15431947
1972,240904,15431947
1973,283300,15431947
1974,158700,15431947
1975,275500,15431947
1976,378600,15431947
1977,334000,15431947
1978,301198,15431947
1979,282941,15431947
1980,174008,15431947
1981,167332,15431947
1982,180144,15431947
1983,164926,15431947
1984,167665,15431947
1985,188045,15431947
1986,200622,15431947
1987,227921,15431947
1988,239595,15431947
1989,281728,15431947
1990,257378,15431947
1991,296470,15431947
1992,294535,15431947
1993,327907,15431947
1994,330417,15431947
1995,295460,15431947
1996,279454,15431947
1997,305882,15431947
1998,338442,15431947
1999,327649,15431947
2000,262320,15431947
2001,328927,15431947
2002,327747,15431947
2003,312384,15431947
2004,357723,15431947
2005,398583,15431947
2006,298717,15431947
2007,364856,15431947
2008,362512,15431947
2009,363905,15431947
2010,372330,15431947
2011,361862,15431947
2012,292055,15431947
2013,316953,15431947
2014,314102,15431947
2015,381747,15431947
